bun path,path.path,filedbentity.previous_file_name,dbentity.display_name,dbentity.status,dbentity.source,topic term name,topic edam_id,data term name,data edam_id,format term name,format edam_id,filedbentity.file_extension,filedbentity.file_date,Year,filedbentity.is_public,filedbentity.is_in_spell,filedbentity.is_in_browser,readme name,filedbentity.description,pmids (|),keywords (|)
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,Dietrich-93-Sc-strains-accessions.README,Active,SGD,DNA sequence (raw),topic:3497,Report,data:2048,Textual format,format:2330,README,5/7/18,2018,1,0,0,,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,PMID25840857_supplementary_files.README,Active,SGD,DNA sequence (raw),topic:3497,Report,data:2048,Textual format,format:2330,README,5/3/18,2018,1,0,0,,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1083_Duke_2015_PRJNA188959.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1202_Duke_2015_PRJNA189884.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1252_Duke_2015_PRJNA189890.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1304_Duke_2015_PRJNA189892.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1307_Duke_2015_PRJNA189893.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1326_Duke_2015_PRJNA189895.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1336_Duke_2015_PRJNA189897.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1342_Duke_2015_PRJNA189900.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1355_Duke_2015_PRJNA189901.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1381_Duke_2015_PRJNA189903.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1383_Duke_2015_PRJNA189904.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
/data.local/files-for-mike/Strope-Dietrich-PMID25840857/,/genome-sequences/93-yeast-genomes,,YJM1388_Duke_2015_PRJNA189908.tar.gz,Active,SGD,DNA sequence (raw),topic:3497,Nucleic acid sequence record,data:2887,SRA format,format:3698,tar.gz,5/3/18,2015,1,0,0,Dietrich-93-Sc-strains-accessions.README,Genomic sequence of 93 Saccharomyces genome strains,25840857,genome variation
